algo,candidate,frontend,seed_count,success_rate,success_rate_std,clean_success_rate,clean_success_rate_std,mean_reward,mean_reward_std,mean_episode_cost,mean_episode_cost_std,mean_cost_rate,mean_cost_rate_std,crash_rate,crash_rate_std,out_of_road_rate,out_of_road_rate_std,out_of_time_rate,out_of_time_rate_std,intervention_ratio,intervention_ratio_std,mean_action_distortion,mean_action_distortion_std
lag,nocicim_memory_confirmed_stop,nocicim_risk_field,5,0.75,0.11726039399558573,0.2,0.10606601717798213,303.60332373712754,25.937926085148312,4.72,1.7365914890958092,0.016250000265831475,0.005361707873680703,0.72,0.15247950681976907,0.25,0.08660254037844387,0.0,0.0,0.006260496853907994,0.002791241344020914,0.000922024276207554,0.0004162424757348533
lag,nocicim_micro_guard,nocicim_risk_field,5,0.79,0.1140175425099138,0.23,0.08366600265340754,309.97925915314784,18.108525482154107,4.8,1.0862780491200215,0.01485030357479736,0.0027670447929429623,0.69,0.1341640786499874,0.19,0.11937336386313323,0.0,0.0,0.05427226849187416,0.005544681686760731,0.026901116473588598,0.017134354930737568
lag,nocicim_risk_gated_micro_guard,nocicim_risk_field,5,0.75,0.11726039399558573,0.2,0.10606601717798213,303.60332373712754,25.937926085148312,4.72,1.7365914890958092,0.016250000265831475,0.005361707873680703,0.72,0.15247950681976907,0.25,0.08660254037844387,0.0,0.0,0.006260496853907994,0.002791241344020914,0.000922024276207554,0.0004162424757348533
lag,nocicim_route_preserve,nocicim_risk_field,5,0.82,0.12041594578792293,0.17,0.09082951062292476,318.22158342124,19.246630248804518,5.09,1.9346834366376326,0.01608307718862196,0.006252617049573605,0.75,0.1457737973711325,0.16999999999999998,0.1036822067666386,0.0,0.0,0.0760217190898426,0.016537813858161228,0.027680954552007718,0.009143844623979998
lag,nocicim_soft_crash_guard,nocicim_risk_field,5,0.74,0.108397416943394,0.22,0.12041594578792295,304.4194216869891,23.052079348896562,5.18,1.6906359750105875,0.016956047419364313,0.005701566635354987,0.7000000000000001,0.14577379737113252,0.25,0.08660254037844387,0.0,0.0,0.0028631937901796045,0.0011550356332296703,0.0007881247550380765,0.00033365986831365073
lag,nocicim_soft_front_trim,nocicim_risk_field,5,0.78,0.08366600265340754,0.21,0.11937336386313321,309.2175247597865,19.721293700283113,5.08,1.83664095565791,0.015016541695916206,0.0053938725468835914,0.72,0.15247950681976907,0.21,0.06519202405202648,0.0,0.0,0.012849156715156719,0.010604574382232872,0.021488765036864792,0.019940708226309767
lag,none,none,5,0.73,0.1036822067666386,0.21,0.11937336386313321,304.58569505202945,22.905240734880653,5.34,1.7093127273848987,0.01771105768855317,0.00605253746798804,0.72,0.15247950681976907,0.26,0.08215838362577492,0.0,0.0,0.0,0.0,0.0,0.0
qpsl,nocicim_close_range,nocicim_risk_field,5,0.87,0.1440486029088793,0.09,0.04183300132670378,321.43709416984984,26.0400231368912,8.99,1.121605991424796,0.026262519649613476,0.0036349941284408915,0.86,0.06519202405202645,0.13,0.13509256086106294,0.0,0.0,0.15094397884983568,0.03326143784938871,0.12143356183954888,0.030939495275777003
qpsl,nocicim_conservative_clean,nocicim_risk_field,5,0.86,0.12942179105544785,0.08,0.027386127875258306,327.2303386301132,18.635484465195816,13.53,1.7967331465746383,0.044944655255690504,0.005418720015512082,0.86,0.0547722557505166,0.15,0.11726039399558574,0.0,0.0,0.0008728957496174208,0.0003948496748502635,8.587262276028236e-05,3.957861462715994e-05
qpsl,nocicim_cost_guard,nocicim_risk_field,5,0.66,0.08215838362577489,0.1,0.035355339059327376,293.49661615960514,16.696736651756247,7.84,2.8546891249311193,0.017415480820992424,0.002797190808661914,0.85,0.07071067811865477,0.16999999999999998,0.09082951062292474,0.0,0.0,0.2393723311147872,0.040228452846763775,0.3224215680240046,0.04516794191468232
qpsl,nocicim_crash_aware_route,nocicim_risk_field,5,0.87,0.09082951062292476,0.08,0.04472135954999579,325.34064845595526,22.51295538102139,13.4,2.5583197610932062,0.04528702090619203,0.007442085805199862,0.87,0.06708203932499367,0.13999999999999999,0.08944271909999159,0.0,0.0,0.0037405204144467176,0.0011279253462231895,0.0007257279230027704,0.0002131476319857204
qpsl,nocicim_memory_confirmed_stop,nocicim_risk_field,5,0.88,0.11510864433221338,0.08,0.027386127875258306,327.0048865946465,21.495542113761342,13.92,2.241818458305668,0.04682700100202689,0.005380782168565595,0.86,0.0821583836257749,0.14,0.09617692030835673,0.0,0.0,0.007947193909545817,0.0022379055734400733,0.0011660662884388773,0.00033074299030859525
qpsl,nocicim_micro_guard,nocicim_risk_field,5,0.88,0.11510864433221339,0.1,0.09354143466934853,326.008268716614,20.444489441241917,13.76,3.183433680791859,0.04282693747426893,0.006835290933454247,0.89,0.09617692030835673,0.12,0.11510864433221338,0.0,0.0,0.07072434141830881,0.020471557973291917,0.04076679895395701,0.007210582061188168
qpsl,nocicim_risk_gated_micro_guard,nocicim_risk_field,5,0.88,0.11510864433221338,0.08,0.027386127875258306,327.0048865946465,21.495542113761342,13.92,2.241818458305668,0.04682700100202689,0.005380782168565595,0.86,0.0821583836257749,0.14,0.09617692030835673,0.0,0.0,0.007947193909545817,0.0022379055734400733,0.0011660662884388773,0.00033074299030859525
qpsl,nocicim_route_preserve,nocicim_risk_field,5,0.91,0.06519202405202645,0.11,0.0651920240520265,333.62148032099236,7.852777643856051,12.64,2.747134871097522,0.03878291778963086,0.009794335971738797,0.87,0.06708203932499367,0.08,0.04472135954999579,0.0,0.0,0.09750100392712356,0.026577933437501703,0.06312031850263444,0.0216197479008715
