algo,total_steps,seed_count,EpRet_mean,EpRet_std,EpCost_mean,EpCost_std,CostRate_mean,CostRate_std
epo,250000,5,0.5800000000000001,0.10954451150103321,9.01,1.5820872289478858,0.019119276477105908,0.0031735412035688183
epo,260000,5,0.6,0.07905694150420946,8.27,4.462426469982447,0.01911315043519398,0.003270688278355985
epo,270000,5,0.68,0.12041594578792295,7.13,2.2267128238728944,0.019127478249919446,0.0031880979113932217
epo,280000,5,0.75,0.10000000000000002,7.02,1.5413468136665411,0.01909078246708024,0.003162432746198031
epo,290000,5,0.6,0.15811388300841897,5.64,1.3862719790863554,0.019057307094162396,0.0031984598580295084
epo,300000,5,0.53,0.20186629238186352,7.48,1.969327296312119,0.018978063260210867,0.0031797892428860864
epo,310000,5,0.6,0.11726039399558573,7.17,1.5064859773658699,0.0189129642353685,0.0032085788083782273
epo,320000,5,0.61,0.1673320053068151,6.36,2.2227235545609356,0.01887068397088741,0.0031583056176124613
epo,330000,5,0.71,0.108397416943394,8.17,3.178167711119097,0.01876429928575541,0.003096711026882152
epo,340000,5,0.52,0.12041594578792296,7.39,1.978446360152329,0.018700643237185993,0.0031126128723914267
epo,350000,5,0.74,0.12942179105544785,5.58,1.770451919708638,0.018589767399335426,0.0030534140495140872
epo,360000,5,0.67,0.07582875444051551,6.4,1.280136711449211,0.018544495956933214,0.0029774420453709646
epo,370000,5,0.7,0.0790569415042095,5.68,1.0250609737961933,0.018523293306198126,0.0030570067232434544
epo,380000,5,0.7,0.03535533905932737,6.82,1.5315841472149023,0.01845952226190069,0.0030787612447751066
epo,390000,5,0.74,0.16733200530681508,5.74,0.9964938534682487,0.01842466262734007,0.002999441452910224
epo,400000,5,0.64,0.054772255750516585,7.05,1.2737739202857,0.018305045762614408,0.0029591684910352874
epo,410000,5,0.66,0.13416407864998742,6.57,2.7458149974096946,0.01831028856167942,0.0029162049787616303
epo,420000,5,0.64,0.08944271909999157,6.3,1.4313455208299637,0.01829051973933271,0.0028558621643472747
epo,430000,5,0.6,0.1322875655532295,4.22,1.2838418905768731,0.018209344672894586,0.0027662006993965952
epo,440000,5,0.7,0.3,7.0200000000000005,1.1851160280748887,0.018138223041416004,0.0026908299778093266
epo,450000,5,0.65,0.15811388300841894,4.57,2.504645683524917,0.01808404018675597,0.0026675416196027435
epo,460000,5,0.6799999999999999,0.12549900398011132,7.47,1.6817401701808752,0.01799829999630434,0.0026677772900858187
epo,470000,5,0.71,0.108397416943394,6.05,1.6654578949946468,0.017938336039012848,0.0026135896208413162
epo,480000,5,0.79,0.09617692030835671,6.7700000000000005,1.5192925985471004,0.017900870626813805,0.002585178453818257
epo,490000,5,0.73,0.1680773631397161,6.26,1.5335416525155097,0.01783513843905804,0.0025417071064227446
epo,500000,5,0.73,0.13038404810405294,6.13,1.138310151057259,0.01780203560407121,0.002510647170227557
epo,510000,5,0.72,0.19557607215607947,5.26,1.1583393285216559,0.017747877937015565,0.0025278607631685577
epo,520000,5,0.75,0.1274754878398196,5.92,1.3103434664239755,0.0176446493166333,0.0024966687736949376
epo,530000,5,0.67,0.16807736313971608,5.58,1.2091319200153472,0.01758531619870981,0.002454172770686593
epo,540000,5,0.69,0.16355427233796127,5.28,1.0883473710171767,0.0174885509047239,0.002432616298200898
epo,550000,5,0.68,0.10368220676663861,6.07,1.5180579699076053,0.01742948623542952,0.0024333768757977964
epo,560000,5,0.69,0.16355427233796127,4.58,1.6813684902483454,0.017324673794060347,0.0023658328510575617
epo,570000,5,0.76,0.08215838362577492,4.23,1.6555210660091282,0.017258977647329206,0.00235036594179347
epo,580000,5,0.8,0.09354143466934856,6.12,1.9341018587447771,0.01722209865879079,0.0022907998459075064
epo,590000,5,0.55,0.24748737341529162,4.34,1.724963767735427,0.01716646977367758,0.0022316950355736782
epo,600000,5,0.79,0.10839741694339397,6.43,2.963443942442644,0.017095361825603044,0.002195627906224766
epo,610000,5,0.6799999999999999,0.2252776065213762,4.89,2.0153783763849407,0.01704920827739062,0.002204028662390917
epo,620000,5,0.72,0.19235384061671343,6.029999999999999,2.6116565624139785,0.017013898409513565,0.0021924797329468714
epo,630000,5,0.71,0.022360679774997918,5.57,2.3166786570433113,0.01696828090203318,0.0021078430356608977
epo,640000,5,0.74,0.14747881203752625,4.2,0.5385164807134505,0.01692658894779523,0.002070942115147184
epo,650000,5,0.64,0.18841443681416772,5.13,0.5215361924162117,0.01684341052832389,0.0020682366847946635
epo,660000,5,0.68,0.11510864433221339,5.18,1.7163187349673719,0.016741540517485633,0.0020497283330405363
epo,670000,5,0.72,0.13509256086106294,5.62,1.2696456198483101,0.016720024955261127,0.00200583809940605
epo,680000,5,0.75,0.10606601717798214,5.57,2.081345718519631,0.016651789193807637,0.0019742484120312074
epo,690000,5,0.7000000000000001,0.10606601717798214,4.0200000000000005,1.6464355438340126,0.016573937063676904,0.0019908939780543373
epo,700000,5,0.72,0.07582875444051553,6.38,2.357063851489815,0.01649002355717651,0.0019942721898672695
epo,710000,5,0.79,0.12942179105544785,5.22,0.8906458330896744,0.016460304873668837,0.001964734554987515
epo,720000,5,0.6,0.1224744871391589,5.989999999999999,2.029285588575447,0.01641918947109649,0.0019386770181274004
epo,730000,5,0.74,0.15165750888103102,4.74,1.8662797217994949,0.016359474465033514,0.001964970937392251
epo,740000,5,0.69,0.14317821063276354,5.27,2.079543219074804,0.016277319293674722,0.0019375670096858633
epo,750000,5,0.72,0.0758287544405155,5.84,2.504845304604658,0.016181888242517657,0.0019491668870450641
epo,760000,5,0.7,0.08660254037844384,5.0,1.0874281585465775,0.01616502126976483,0.0019499918227986275
epo,770000,5,0.71,0.07416198487095665,4.8,2.983915213272656,0.016143657329425104,0.001973419804978813
epo,780000,5,0.63,0.11510864433221338,5.7,1.5684387141358118,0.016103097568073807,0.0019443038728009956
epo,790000,5,0.61,0.13874436925511607,3.99,0.7444796840747234,0.016042298787719983,0.0019185723624690534
epo,800000,5,0.82,0.10368220676663861,4.59,1.9667231630303232,0.015990519988149987,0.0019371815481324963
epo,810000,5,0.74,0.09617692030835674,4.970000000000001,1.5924038432508258,0.015943229559542665,0.0019318897240904163
epo,820000,5,0.61,0.2329162939770423,4.05,2.3143573622066236,0.015859775438750535,0.0019367484156137497
epo,830000,5,0.77,0.14404860290887933,4.19,0.996493853468249,0.01581736845466079,0.0019567046454613034
epo,840000,5,0.67,0.07582875444051547,4.83,1.7679790722743298,0.015763828290271772,0.00192683105529981
epo,850000,5,0.73,0.12041594578792297,6.93,2.3217988715648903,0.01572025378853387,0.0019043987927590802
epo,860000,5,0.73,0.09746794344808965,4.68,2.6387970744261486,0.015688855452157504,0.0018879053547369224
epo,870000,5,0.5800000000000001,0.14404860290887933,4.43,1.5900471691116587,0.015646684651361667,0.0018625041480685584
epo,880000,5,0.67,0.08366600265340758,4.01,1.1507606180261818,0.015589790442943686,0.0018569093072783884
epo,890000,5,0.73,0.11510864433221339,4.15,1.9946804255318695,0.015571927608907426,0.0018835855709970633
epo,900000,5,0.71,0.2434132288927617,4.95,1.9665960439297137,0.015538017264463628,0.0018800024829026382
epo,910000,5,0.72,0.10368220676663861,4.82,2.8061539515856926,0.01547166535347841,0.001859337734126481
epo,920000,5,0.75,0.10000000000000002,5.0600000000000005,1.1513036089581237,0.015418060237021997,0.0018695777715033574
epo,930000,5,0.71,0.2133072900770154,4.34,0.7869243928103894,0.015396145587253319,0.00187742824025996
epo,940000,5,0.62,0.2280350850198276,5.32,1.5234008008400155,0.015340867383901472,0.0018841487151353233
epo,950000,5,0.84,0.09617692030835673,4.05,2.232991267336261,0.015305910848327208,0.0018697956226633578
epo,960000,5,0.75,0.07905694150420949,4.98,2.3034213683127978,0.01524793254992974,0.0018408036150684285
epo,970000,5,0.76,0.14317821063276354,5.1,2.1768670147714584,0.015227026007243306,0.001845708891001148
epo,980000,5,0.78,0.09746794344808964,3.97,0.42367440328629735,0.015170627725130332,0.0018284680047895513
epo,990000,5,0.72,0.14404860290887933,3.6,0.7929375763576852,0.015137187007259603,0.0018196458067857712
epo,1000000,5,0.77,0.09082951062292474,5.35,1.7528548142958107,0.015117215117215118,0.0018073737115483896
lag,10000,5,0.0,0.0,0.54,0.5079370039680118,0.00010001000100010001,0.0
lag,20000,5,0.24,0.23822258499143192,14.85,8.088649454637034,0.02601130056502825,0.013090555214931755
lag,30000,5,0.19,0.11401754250991379,9.370000000000001,3.144360030276432,0.03738791293043101,0.014374560765200738
lag,40000,5,0.25,0.13693063937629152,7.26,4.094722212800277,0.036700917522938074,0.010256839672737987
lag,50000,5,0.16,0.05477225575051661,5.8100000000000005,2.8285155117128133,0.033484669693393865,0.007913733951956664
lag,60000,5,0.39,0.13874436925511607,8.83,3.7667293505108645,0.03072384539742329,0.006598074721446927
lag,70000,5,0.35,0.30618621784789724,8.17,3.7683882496367063,0.029191845597794253,0.005793742215445493
lag,80000,5,0.35000000000000003,0.20310096011589904,8.28,3.2065557846387143,0.027920349004362556,0.005586930817991392
lag,90000,5,0.51,0.22192341021172146,9.45,2.0621590627301285,0.027313636818186868,0.005474340754979938
lag,100000,5,0.4,0.15811388300841897,8.94,2.3203986726422685,0.027254272542725427,0.005117436248792593
lag,110000,5,0.44,0.1710263137648707,9.81,2.610411844901107,0.027256611423740217,0.004118943662587075
lag,120000,5,0.59,0.12942179105544785,14.9,6.471572451885246,0.027305227543562863,0.003969485007345067
lag,130000,5,0.53,0.13509256086106294,10.34,3.8097572101119517,0.02744174955191963,0.004161579715824035
lag,140000,5,0.55,0.1903943276465977,7.38,1.2070625501605126,0.027068764776891265,0.004063726573816262
lag,150000,5,0.67,0.17888543819998315,8.26,1.7921355975483555,0.026689511263408423,0.0036962166758977423
lag,160000,5,0.55,0.1457737973711325,9.14,2.513811846578817,0.026348914680716755,0.0033656776625419897
lag,170000,5,0.51,0.1781852968120546,7.44,2.20238507078122,0.02602132953723257,0.003517841365665838
lag,180000,5,0.53,0.18234582528810467,10.7,1.5612494995995994,0.025687920488447157,0.0032950819540219895
lag,190000,5,0.5800000000000001,0.09746794344808962,11.2,2.4400307375113126,0.025641187585197817,0.0033929904716295456
lag,200000,5,0.6799999999999999,0.057008771254956896,8.63,2.9181758000504354,0.02538112690563453,0.0035736809051218933
lag,210000,5,0.7,0.0790569415042095,8.21,2.7830738401989987,0.025457264082209916,0.0036683318784693844
lag,220000,5,0.65,0.20310096011589904,7.05,2.1324868112136124,0.025401024550111593,0.003571689975063559
lag,230000,5,0.63,0.09746794344808964,7.88,1.582561215245717,0.025267935947547598,0.0033926588561731604
lag,240000,5,0.63,0.12041594578792296,9.5,4.252058325093859,0.025380939087246198,0.0032484394360174254
lag,250000,5,0.67,0.057008771254956896,7.47,1.2512993247021271,0.025306501226004904,0.003366574441536444
lag,260000,5,0.64,0.0821583836257749,9.26,1.8348705676423067,0.025220097000373077,0.0034456341332727704
lag,270000,5,0.56,0.12449899597988731,7.0200000000000005,2.0045573077365484,0.02515194500720373,0.0032609091827504604
lag,280000,5,0.63,0.09082951062292476,8.1,2.6019223662515376,0.024940089071746684,0.003129894505550036
lag,290000,5,0.58,0.09082951062292473,7.41,1.315959725827504,0.02480905106569333,0.002987964319592788
lag,300000,5,0.62,0.1753567791675018,7.51,3.1991014363411487,0.02481674938916463,0.003104164374034483
lag,310000,5,0.63,0.13509256086106294,7.16,2.398020016597026,0.024645240791099327,0.0032328793104684835
lag,320000,5,0.65,0.09354143466934853,7.03,0.9162423260251628,0.02446195144359826,0.003178844970110562
lag,330000,5,0.7,0.15411035007422438,6.76,2.4019263102768162,0.024452195309682755,0.0031243726903379975
lag,340000,5,0.66,0.16355427233796127,6.34,1.480456010829096,0.02432595389986441,0.002959616687539965
lag,350000,5,0.66,0.2103568396796263,7.16,3.117972097373548,0.024172069063054465,0.0028109112922029954
lag,360000,5,0.68,0.1604680653588121,8.45,1.9358460682605938,0.02404451123475343,0.0028490696504752016
lag,370000,5,0.71,0.0651920240520265,6.06,1.275441100168879,0.023934659282862928,0.002814082114176103
lag,380000,5,0.71,0.07416198487095665,7.3500000000000005,2.2099208130609567,0.02378058889628657,0.0027760503201820215
lag,390000,5,0.61,0.23021728866442678,6.1,1.2439855304624727,0.023645701655645272,0.0026501686128984083
lag,400000,5,0.72,0.09082951062292477,7.26,2.9498728786169752,0.023370558426396064,0.0026621606235258666
lag,410000,5,0.71,0.16355427233796124,7.9799999999999995,0.9304568770233257,0.023312251981102393,0.0026832144011039337
lag,420000,5,0.71,0.09617692030835671,6.36,2.4437164319945146,0.023178626615777655,0.002758960246857945
lag,430000,5,0.64,0.054772255750516585,7.72,2.6696441710460213,0.023047495459291766,0.0026872050356841286
lag,440000,5,0.63,0.12041594578792296,4.4399999999999995,1.3078608488673402,0.02287823381416776,0.002548834015717486
lag,450000,5,0.61,0.0547722557505166,7.2,5.698135660020741,0.022740494978877732,0.002513993810595789
lag,460000,5,0.63,0.14832396974191325,6.05,2.5181838693788823,0.022627875277989734,0.0024721065101147616
lag,470000,5,0.65,0.1,6.28,2.0179197209007103,0.02252260111191726,0.0024533995021818714
lag,480000,5,0.7,0.22360679774997896,7.67,2.1984653738460382,0.022436713409819602,0.002476056509925601
lag,490000,5,0.67,0.1036822067666386,8.719999999999999,3.402315388085002,0.02240535184765683,0.0024901395520415645
lag,500000,5,0.6799999999999999,0.07582875444051551,6.8100000000000005,1.4943225890014513,0.022362844725689453,0.0024992235163041644
lag,510000,5,0.71,0.08215838362577493,4.18,1.4579951988947015,0.022351024217694544,0.0024514177097164714
lag,520000,5,0.6599999999999999,0.1193733638631332,6.7700000000000005,2.992198188623207,0.02228119669460903,0.0023940381917221237
lag,530000,5,0.66,0.1140175425099138,7.2299999999999995,3.194448309176406,0.0221147587070919,0.0024001411391337195
lag,540000,5,0.7000000000000001,0.18371173070873836,7.720000000000001,4.433198619507139,0.022058559367702534,0.0024410208455466144
lag,550000,5,0.71,0.14747881203752627,6.86,2.3074336393491364,0.02199640362982478,0.00248370243865881
lag,560000,5,0.61,0.12449899597988734,4.91,2.119964622346326,0.02191932485593724,0.002455561974152841
lag,570000,5,0.74,0.11401754250991378,6.5200000000000005,3.4591545209776338,0.021834775148728332,0.0024813950489929243
lag,580000,5,0.54,0.21621748310439654,5.85,2.5787593916455256,0.021777278926342975,0.0024772594262326524
lag,590000,5,0.61,0.06519202405202645,6.41,2.3506382112098834,0.02167020622068851,0.0024426777004705772
lag,600000,5,0.72,0.04472135954999579,6.14,1.3515731574724326,0.021594702657837764,0.002462444853502941
