variant,alpha,beta,gamma,theta,k,lambda_brake,lambda_throttle,steering_limit_gain,min_steering_scale,trigger_threshold,eval_episodes,seed_count,source_count,complete,SuccessRate_mean,SuccessRate_ci95,EpCost_mean,EpCost_ci95,CostRate_mean,CostRate_ci95,mean_pain_mean,mean_pain_ci95,trigger_rate_mean,trigger_rate_ci95,mean_longitudinal_delta_mean,mean_longitudinal_delta_ci95,steering_limit_rate_mean,steering_limit_rate_ci95
longitudinal,0.88,0.35,0.08,0.45,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.10089717538167262,12.18,2.4161720634093915,0.034868825612842394,0.004109450672945665,0.5150058006699156,0.049358170785883886,0.5174645746357984,0.050383084648271716,0.29556540708845885,0.028526371623612812,0.0,0.0
longitudinal,0.88,0.35,0.08,0.45,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.9,0.05367681063550624,9.46,1.2075890691787499,0.028931358403197154,0.001818928296219054,0.49574728688053876,0.04032297897359919,0.4959954755705163,0.04016354963651176,0.33150593843030507,0.027411720494590168,0.0,0.0
longitudinal,0.88,0.35,0.08,0.5,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.85,0.06929646455628163,12.54,1.2273106208291364,0.04107671007480376,0.003853987841559589,0.45028225422740464,0.0352158310978825,0.44902374720013866,0.034770428778676185,0.20910784650548506,0.019179209331777993,0.0,0.0
longitudinal,0.88,0.35,0.08,0.5,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.91,0.03666824239038461,9.67,2.799885897675118,0.03168647134464335,0.008787916234341147,0.435249856558189,0.03822418791124338,0.4342015824436877,0.03987298620664572,0.24700744040888672,0.022872521052440142,0.0,0.0
longitudinal,0.88,0.35,0.08,0.5,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.86,0.05714332856948391,10.54,1.4162271569208098,0.030284882012617895,0.003942321812215509,0.47323052905172697,0.04363809994503392,0.4746787610889048,0.04501787736741425,0.31485449420970163,0.034025155751489025,0.0,0.0
longitudinal,0.88,0.45,0.06,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.8099999999999999,0.11760000000000001,12.94,3.073421246754177,0.04070790951801562,0.00772328093437874,0.5833339872135694,0.024802728323831996,0.5801191503653573,0.025902332771195486,0.2802209376805174,0.013159876513499863,0.0,0.0
longitudinal,0.88,0.45,0.06,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.09088146125585787,10.62,3.1080990074320343,0.031113238166919414,0.004516092314936317,0.5595757832650774,0.05093301402708553,0.555870425096193,0.0522907821624426,0.3223338919351023,0.03431185434151893,0.0,0.0
longitudinal,0.88,0.45,0.06,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.9,0.10278326712067484,9.58,1.6753701203017797,0.02750413085431937,0.004587691585101903,0.586298295645823,0.023298564998817266,0.5833337706860364,0.023691783754078728,0.4029137090470894,0.01806155264182539,0.0,0.0
longitudinal,0.88,0.45,0.06,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.9299999999999999,0.04997039123320929,11.7,1.9778041359042604,0.03690655114872508,0.00445023028801392,0.5605561948580712,0.04290875213847243,0.559887738234804,0.044498155710122174,0.2693172195908211,0.01822042810110667,0.0,0.0
longitudinal,0.88,0.45,0.06,0.45,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.9299999999999999,0.06646683383462763,9.02,1.675943268729583,0.027287672052714054,0.0037723009270046477,0.5417279111319705,0.03243837212103448,0.5403594676606274,0.0326299814315855,0.31550917103788706,0.021694333209329203,0.0,0.0
longitudinal,0.88,0.45,0.06,0.45,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.8,0.1518209471713307,7.29,2.1244537556746206,0.023567832053296604,0.005391390978339048,0.5012400467477618,0.07459851434743985,0.5001590644223944,0.07542310547219297,0.34414643386958754,0.0525142138605446,0.0,0.0
longitudinal,0.88,0.45,0.06,0.5,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.9099999999999999,0.10463536686990685,10.84,0.8358199327606393,0.034726339329754684,0.004221818405618338,0.5189642436717916,0.03070663330448226,0.5204573270320049,0.03170045780750088,0.24726019241670094,0.01178663008122233,0.0,0.0
longitudinal,0.88,0.45,0.06,0.5,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.87,0.0908814612558579,12.129999999999999,2.0739448980144095,0.03496126215214226,0.004717877125402559,0.5851902706225189,0.03951710313399304,0.5871077238432594,0.039074265023901995,0.33629973726196044,0.020264102320661455,0.0,0.0
longitudinal,0.88,0.45,0.06,0.5,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.91,0.10912818151146844,10.06,1.4060182644617387,0.0292417636316241,0.003114897286028533,0.5563004330874519,0.04375669942216957,0.5572979326953053,0.045372870374599715,0.3841299558067555,0.03533915738001531,0.0,0.0
longitudinal,0.88,0.45,0.08,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.85,0.06198064213930025,10.59,1.582449670605672,0.0352049728021837,0.0025917401643307902,0.5276424371254341,0.06693828800362883,0.5248509703777624,0.0676568869950029,0.2506806809794707,0.030769831018111312,0.0,0.0
longitudinal,0.88,0.45,0.08,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.1008971753816726,10.72,1.8021344677909024,0.03287753152644668,0.0027047339649094657,0.5549218247402234,0.057131617715610226,0.5517593878665867,0.05893161103466544,0.31736527417211935,0.03100296563057297,0.0,0.0
longitudinal,0.88,0.45,0.08,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.9,0.06929646455628163,11.03,1.8546613275743902,0.031033668155507434,0.004317585094040302,0.5787656878333556,0.02765493969951682,0.5774804031684886,0.02801380875741973,0.39662953143907514,0.020567022539728495,0.0,0.0
longitudinal,0.88,0.45,0.08,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.89,0.09994078246641858,12.19,2.8672998029505044,0.03907510316320727,0.007043406349414381,0.5254573828282033,0.05278171486086486,0.5254053208718713,0.05355345761397605,0.2518079544453406,0.02987230401191291,0.0,0.0
longitudinal,0.88,0.45,0.08,0.45,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.89,0.048009998958550265,11.25,2.1230066415345945,0.034969650405266735,0.004927875512558756,0.5530350936646111,0.034018383541660806,0.5543312478782604,0.03423521718462782,0.3175140922771104,0.01603617601050324,0.0,0.0
longitudinal,0.88,0.45,0.08,0.45,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.84,0.08981848362113443,9.39,1.698371384591721,0.02824097277703185,0.0038334591357297373,0.5245192665683757,0.03599009932701508,0.5257275588820745,0.036529562820362634,0.35823310430688715,0.027763542636633814,0.0,0.0
longitudinal,0.88,0.45,0.08,0.5,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.83,0.08543441929339719,9.09,1.8731591923806155,0.03150962965613294,0.004731792617935129,0.47790680768253446,0.07283697615231238,0.4779793222098826,0.07342090527538003,0.22661837399616666,0.03409862798974605,0.0,0.0
longitudinal,0.88,0.45,0.08,0.5,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.93,0.039199999999999985,11.63,3.342590229148646,0.03600117754793436,0.008354000775274139,0.5140496365754301,0.05042001515552175,0.5129628490319026,0.05211837934601592,0.2959714271990924,0.03197321816709609,0.0,0.0
longitudinal,0.88,0.45,0.08,0.5,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.91,0.07839999999999998,9.36,1.684460079669447,0.027524074436554795,0.004289737112861808,0.5022242359935907,0.025611168398738657,0.5009007230082465,0.02578520141172483,0.3393227037002972,0.018333402384395014,0.0,0.0
longitudinal,0.92,0.35,0.06,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.87,0.08543441929339719,11.08,0.9987349197860258,0.03649881599334898,0.0036749604655214665,0.5402554304669427,0.035524653834206374,0.5380388231829463,0.03569406904950384,0.25954534116837075,0.018664812264871416,0.0,0.0
longitudinal,0.92,0.35,0.06,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.88,0.07333648478076923,10.53,2.439511147750713,0.03494363231730729,0.005900972499793326,0.5258124111771292,0.03690108142385096,0.5242033231410094,0.0374009602148635,0.30052022364827313,0.021786944935891575,0.0,0.0
longitudinal,0.92,0.35,0.06,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.89,0.07201499843782543,8.74,2.5535347579384933,0.025432998532274764,0.00625572327260946,0.558045802978314,0.05374062122242529,0.5561478418079382,0.0551527565213439,0.37583447382420276,0.03773478404681302,0.0,0.0
longitudinal,0.92,0.35,0.06,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.89,0.04800999895855027,10.74,1.6583152173214837,0.03550248246817345,0.00439867314140984,0.5166319680488162,0.023051272050857594,0.5164699803030155,0.023319023467218106,0.24888744622903747,0.013865458722877103,0.0,0.0
longitudinal,0.92,0.35,0.06,0.45,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.85,0.053676810635506285,11.47,2.1292402964437813,0.03454874740886067,0.0056207414541210275,0.5505022268789153,0.05413316431100592,0.5501750374522301,0.054157158489464396,0.32219212427965627,0.03353187797051701,0.0,0.0
longitudinal,0.92,0.35,0.06,0.45,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.83,0.07333648478076923,9.19,1.091017763375097,0.02596219028220687,0.0028711519968451587,0.592309217984618,0.04886512040311783,0.5921399101196584,0.04905831533863881,0.40514834578960385,0.02906291104663774,0.0,0.0
longitudinal,0.92,0.35,0.06,0.5,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.8200000000000001,0.13365418063046136,10.91,2.429411895912259,0.03704272109907384,0.004100995396656577,0.49859982216842524,0.03403113570969743,0.5006469584868382,0.033531965079766426,0.24012749815942042,0.0159823837565455,0.0,0.0
